,neighbourhood,foodAmenCounts,transAmenCounts,entAmenCounts,nightAmenCounts,artsAmenCounts,reliAmenCounts
0,Arbutus-Ridge,10,3.0,0.0,0.0,0.0,1.0
1,Downtown,387,61.0,8.0,81.0,8.0,3.0
2,Dunbar-Southlands,4,0.0,0.0,0.0,3.0,0.0
3,Fairview,80,29.0,1.0,9.0,4.0,1.0
4,Grandview-Woodland,56,24.0,1.0,17.0,5.0,1.0
5,Hastings-Sunrise,21,3.0,1.0,4.0,2.0,0.0
6,Kensington-Cedar Cottage,33,12.0,1.0,2.0,9.0,0.0
7,Kerrisdale,6,0.0,0.0,0.0,4.0,0.0
8,Killarney,12,1.0,0.0,0.0,1.0,0.0
9,Kitsilano,88,24.0,2.0,11.0,2.0,0.0
10,Marpole,24,5.0,0.0,1.0,3.0,0.0
11,Mount Pleasant,82,43.0,3.0,20.0,3.0,0.0
12,Oakridge,8,1.0,0.0,0.0,2.0,0.0
13,Renfrew-Collingwood,23,4.0,0.0,0.0,0.0,3.0
14,Riley Park,31,1.0,3.0,3.0,9.0,0.0
15,Shaughnessy,5,0.0,0.0,0.0,1.0,0.0
16,South Cambie,15,2.0,0.0,1.0,0.0,2.0
17,Strathcona,33,16.0,2.0,10.0,1.0,3.0
18,Sunset,24,3.0,0.0,1.0,1.0,0.0
19,Victoria-Fraserview,6,4.0,0.0,0.0,1.0,0.0
20,West End,108,26.0,3.0,17.0,1.0,2.0
21,West Point Grey,15,3.0,0.0,0.0,0.0,3.0
