,name,amenity,lat,lon,neighbourhood
0,UBC Learning Exchange,university,49.2792244,-123.0995102,Strathcona
10,Simon Fraser University - Vancouver Campus,university,49.2844778,-123.1123491,Downtown
12,Gastown Steam Clock,clock,49.2843841,-123.1088901,Downtown
15,,fountain,49.2800682,-123.1133715,Downtown
20,,fountain,49.267476,-123.1192433,Fairview
32,Main St. Station Farmers Market,marketplace,49.2737748,-123.0987118,Strathcona
34,Footworks Relaxology,spa,49.2639931,-123.1718054,Kitsilano
38,Mount Pleasant Clock,clock,49.2641386,-123.1009147,Mount Pleasant
39,Simon Fraser University,university,49.2824032,-123.1085513,Downtown
40,Vista Digital,internet_cafe,49.2804768,-123.1316113,West End
41,CB2,marketplace,49.2868127,-123.1279668,West End
45,,fountain,49.2851373,-123.1283603,West End
47,,fountain,49.2857165,-123.1203257,Downtown
51,,fountain,49.2719574,-123.1459227,Kitsilano
52,Edward VII,fountain,49.2832215,-123.1206763,Downtown
53,,fountain,49.290018,-123.1212713,Downtown
56,UBC Robson Square,university,49.2824825,-123.1214006,Downtown
57,,fountain,49.2755353,-123.1345675,Downtown
58,,fountain,49.2762293,-123.1242535,Downtown
59,,fountain,49.2807997,-123.1260556,Downtown
62,Main Wellness Centre,spa,49.2580228,-123.1013897,Mount Pleasant
63,,fountain,49.2723046,-123.1401592,Fairview
67,5FiftyGame,internet_cafe,49.2833999,-123.1145203,Downtown
71,Trout Lake Farmer's Market,marketplace,49.2579971,-123.0619281,Kensington-Cedar Cottage
72,Riley Park Farmers Market,marketplace,49.2430113,-123.1045469,Riley Park
73,Downtown Farmers Market,marketplace,49.2799433,-123.1137757,Downtown
74,Kitsilano Farmers Market,marketplace,49.2621368,-123.1615562,Kitsilano
75,Mount Pleasant Farmers Market,marketplace,49.2637862,-123.0937361,Mount Pleasant
76,West End Farmers Market,marketplace,49.2826727,-123.1304201,West End
80,,fountain,49.2598625,-123.1224422,Fairview
87,Birks Clock,clock,49.2851447,-123.1140076,Downtown
88,Vancouver Farmers Market,marketplace,49.2426067,-123.1043501,Riley Park
89,Vancouver Farmers Market,marketplace,49.2830614,-123.0423499,Hastings-Sunrise
90,,fountain,49.2822628,-123.1300562,West End
95,Miraj Hammam Spa,spa,49.2663063,-123.1380996,Fairview
96,Lions Clock,clock,49.2420274,-123.1129332,Riley Park
97,,clock,49.2573713,-123.1009599,Mount Pleasant
101,Vancouver Hack Space,leisure,49.2768589,-123.0725838,Grandview-Woodland
